tot_sezio,idpartizione,nlista,nlistamacro,totVoti,totVoti_nona,totVotiLista,idComune
6,0,1,2,3,0,13,1
6,0,1,2,3,0,13,1
6,0,1,2,3,0,13,1
6,0,1,2,3,0,13,1
6,0,1,2,3,0,13,1
6,0,1,2,3,0,13,1
6,0,1,2,3,0,13,1
6,0,1,2,3,0,13,1
6,0,1,2,3,0,13,1
6,0,1,2,3,0,13,1
6,0,1,2,3,0,13,1
6,0,1,2,3,0,13,1
6,0,1,2,3,0,13,1
6,0,1,2,3,0,13,1
6,0,1,2,3,0,13,1
6,0,1,2,3,0,13,1
6,0,1,2,3,0,13,1
6,0,1,2,3,0,13,1
6,0,2,3,1,0,19,1
6,0,2,3,1,0,19,1
6,0,2,3,1,0,19,1
6,0,2,3,1,0,19,1
6,0,2,3,1,0,19,1
6,0,2,3,1,0,19,1
6,0,2,3,1,0,19,1
6,0,2,3,1,0,19,1
6,0,3,16,280,0,695,1
6,0,3,16,280,0,695,1
6,0,3,16,280,0,695,1
6,0,3,16,280,0,695,1
6,0,3,16,280,0,695,1
6,0,3,16,280,0,695,1
6,0,3,16,280,0,695,1
6,0,3,16,280,0,695,1
6,0,3,16,280,0,695,1
6,0,3,16,280,0,695,1
6,0,3,16,280,0,695,1
6,0,3,16,280,0,695,1
6,0,3,16,280,0,695,1
6,0,3,16,280,0,695,1
6,0,3,16,280,0,695,1
6,0,3,16,280,0,695,1
6,0,3,16,280,0,695,1
6,0,3,16,280,0,695,1
6,0,4,14,57,0,68,1
6,0,4,14,57,0,68,1
6,0,4,14,57,0,68,1
6,0,4,14,57,0,68,1
6,0,4,14,57,0,68,1
6,0,4,14,57,0,68,1
6,0,4,14,57,0,68,1
6,0,4,14,57,0,68,1
6,0,4,14,57,0,68,1
6,0,4,14,57,0,68,1
6,0,4,14,57,0,68,1
6,0,4,14,57,0,68,1
6,0,4,14,57,0,68,1
6,0,4,14,57,0,68,1
6,0,4,14,57,0,68,1
6,0,4,14,57,0,68,1
6,0,4,14,57,0,68,1
6,0,4,14,57,0,68,1
6,0,5,15,6,0,24,1
6,0,5,15,6,0,24,1
6,0,5,15,6,0,24,1
6,0,5,15,6,0,24,1
6,0,5,15,6,0,24,1
6,0,5,15,6,0,24,1
6,0,5,15,6,0,24,1
