idpartizione,nlista,nlistamacro,idpartizione_r,nraggrup,nome,nome_breve,nome2,nome_breve2,immagine,tipo_lista,blocco_ins,idComune
0,3,16,0,3,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO,16.png,N,N,100
0,14,6,0,7,LEGA SALVINI MARCHE,LEGA SALVINI MARCHE,LEGA SALVINI MARCHE,LEGA SALVINI MARCHE,6.png,N,N,100
0,17,5,0,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,FRATELLI D'ITALIA,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,FRATELLI D'ITALIA,5.png,N,N,100
0,9,12,0,4,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,12.png,N,N,100
0,8,13,0,3,MANGIALARDI PRESIDENTE,MANGIALARDI PRESIDENTE,MANGIALARDI PRESIDENTE,MANGIALARDI PRESIDENTE,13.png,N,N,100
0,6,17,0,3,LE NOSTRE MARCHE e IL CENTRO,LE NOSTRE MARCHE e IL CENTRO,LE NOSTRE MARCHE e IL CENTRO,LE NOSTRE MARCHE e IL CENTRO,17.png,N,N,100
0,13,9,0,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,FORZA ITALIA - BERLUSCONI,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,FORZA ITALIA - BERLUSCONI,9.png,N,N,100
0,15,8,0,7,CIVITAS CIVICI,CIVITAS CIVICI,CIVITAS CIVICI,CIVITAS CIVICI,8.png,N,N,100
0,7,18,0,3,RINASCI MARCHE,RINASCI MARCHE,RINASCI MARCHE,RINASCI MARCHE,18.png,N,N,100
0,4,14,0,3,ITALIA VIVA,ITALIA VIVA,ITALIA VIVA,ITALIA VIVA,14.png,N,N,100
0,10,11,0,5,DIPENDE DA NOI,DIPENDE DA NOI,DIPENDE DA NOI,DIPENDE DA NOI,11.png,N,N,100
0,11,4,0,6,COMUNISTA!,COMUNISTA!,COMUNISTA!,COMUNISTA!,4.png,N,N,100
0,5,15,0,3,MARCHE CORAGGIOSE,MARCHE CORAGGIOSE,MARCHE CORAGGIOSE,MARCHE CORAGGIOSE,15.png,N,N,100
0,2,3,0,2,MOVIMENTO 3V LIBERTA' DI SCELTA,MOVIMENTO 3V,MOVIMENTO 3V LIBERTA' DI SCELTA,MOVIMENTO 3V,3.png,N,N,100
0,1,2,0,1,VOX ITALIA MARCHE,VOX ITALIA MARCHE,VOX ITALIA MARCHE,VOX ITALIA MARCHE,2.png,N,N,100
0,12,7,0,7,POPOLARI MARCHE - UNIONE DI CENTRO,POPOLARI MARCHE - U.D.C.,POPOLARI MARCHE - UNIONE DI CENTRO,POPOLARI MARCHE - U.D.C,7.png,N,N,100
0,16,10,0,7,MOVIMENTO PER LE MARCHE,MOVIMENTO PER LE MARCHE,MOVIMENTO PER LE MARCHE,MOVIMENTO PER LE MARCHE,10.png,N,N,100
0,9,6,0,3,LEGA SALVINI MARCHE,LEGA SALVINI MARCHE,LEGA SALVINI MARCHE,LEGA SALVINI MARCHE,6.png,N,N,101
0,5,16,0,2,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO,16.png,N,N,101
0,12,5,0,3,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,FRATELLI D'ITALIA,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,FRATELLI D'ITALIA,5.png,N,N,101
0,3,14,0,2,ITALIA VIVA,ITALIA VIVA,ITALIA VIVA,ITALIA VIVA,14.png,N,N,101
0,14,12,0,4,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,12.png,N,N,101
0,10,9,0,3,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,FORZA ITALIA - BERLUSCONI,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,FORZA ITALIA - BERLUSCONI,9.png,N,N,101
0,11,7,0,3,POPOLARI MARCHE - UNIONE DI CENTRO,POPOLARI MARCHE - U.D.C.,POPOLARI MARCHE - UNIONE DI CENTRO,POPOLARI MARCHE - U.D.C,7.png,N,N,101
0,2,18,0,2,RINASCI MARCHE,RINASCI MARCHE,RINASCI MARCHE,RINASCI MARCHE,18.png,N,N,101
0,8,8,0,3,CIVITAS CIVICI,CIVITAS CIVICI,CIVITAS CIVICI,CIVITAS CIVICI,8.png,N,N,101
0,17,4,0,7,COMUNISTA!,COMUNISTA!,COMUNISTA!,COMUNISTA!,4.png,N,N,101
0,6,17,0,2,LE NOSTRE MARCHE e IL CENTRO,LE NOSTRE MARCHE e IL CENTRO,LE NOSTRE MARCHE e IL CENTRO,LE NOSTRE MARCHE e IL CENTRO,17.png,N,N,101
0,16,11,0,6,DIPENDE DA NOI,DIPENDE DA NOI,DIPENDE DA NOI,DIPENDE DA NOI,11.png,N,N,101
0,4,15,0,2,MARCHE CORAGGIOSE,MARCHE CORAGGIOSE,MARCHE CORAGGIOSE,MARCHE CORAGGIOSE,15.png,N,N,101
0,7,13,0,2,MANGIALARDI PRESIDENTE,MANGIALARDI PRESIDENTE,MANGIALARDI PRESIDENTE,MANGIALARDI PRESIDENTE,13.png,N,N,101
0,13,10,0,3,MOVIMENTO PER LE MARCHE,MOVIMENTO PER LE MARCHE,MOVIMENTO PER LE MARCHE,MOVIMENTO PER LE MARCHE,10.png,N,N,101
